

iteration	best results	gbest
44		2875	2875
45		2875	2875
46		2875	2875
47		2875	2875
48		2875	2875
49		2875	2875
50		2875	2875
51		2875	2875
52		2875	2875
53		2875	2875
54		2875	2875
55		2849	2849
56		2849	2849
57		2849	2849
58		2849	2849
59		2849	2849
60		2849	2849
61		2849	2849
62		2849	2849
63		2849	2849
64		2849	2849
65		2849	2849
66		2849	2849
67		2849	2849
68		2849	2849
69		2849	2849
70		2849	2849
71		2849	2849
72		2849	2849
73		2849	2849
74		2849	2849
75		2849	2849
76		2849	2849
77		2849	2849
78		2849	2849
79		2849	2849
80		2849	2849
81		2849	2849
82		2849	2849
83		2849	2849
84		2849	2849
85		2849	2849
86		2849	2849
87		2849	2849
88		2849	2849
89		2849	2849
90		2849	2849
91		2849	2849
92		2849	2849
93		2849	2849
94		2849	2849
95		2849	2849
96		2849	2849
97		2849	2849
98		2849	2849
99		2849	2849
100		2849	2849
101		2849	2849
102		2849	2849
103		2849	2849
104		2849	2849
105		2849	2849
106		2849	2849
107		2849	2849
108		2849	2849
109		2849	2849
110		2849	2849
111		2849	2849
112		2849	2849
113		2849	2849
114		2849	2849
115		2849	2849
116		2849	2849
117		2849	2849
118		2849	2849
119		2849	2849
120		2849	2849
121		2849	2849
122		2849	2849
123		2849	2849
124		2849	2849
125		2849	2849
126		2849	2849
127		2849	2849
128		2849	2849
129		2849	2849
130		2849	2849
131		2849	2849
132		2849	2849
133		2849	2849
134		2849	2849
135		2849	2849
136		2849	2849
137		2849	2849
138		2849	2849
139		2849	2849
140		2849	2849
141		2849	2849
142		2849	2849
143		2849	2849
144		2849	2849
145		2849	2849
146		2849	2849
147		2849	2849
148		2849	2849
149		2849	2849
150		2849	2849
151		2849	2849
152		2849	2849
153		2849	2849
154		2849	2849
155		2849	2849
156		2849	2849
157		2849	2849
158		2849	2849
159		2849	2849
160		2808	2808
161		2808	2808
162		2808	2808
163		2808	2808
164		2808	2808
165		2808	2808
166		2808	2808
167		2808	2808
168		2808	2808
169		2808	2808
170		2808	2808
171		2808	2808
172		2808	2808
173		2808	2808
174		2808	2808
175		2808	2808
176		2808	2808
177		2808	2808
178		2808	2808
179		2808	2808
180		2808	2808
181		2808	2808
182		2808	2808
183		2808	2808
184		2808	2808
185		2808	2808
186		2808	2808
187		2808	2808
188		2808	2808
189		2808	2808
190		2808	2808
191		2808	2808
192		2808	2808
193		2808	2808
194		2808	2808
195		2808	2808
196		2808	2808
197		2808	2808
198		2808	2808
199		2808	2808
best position:
